Sales Office,Sales Group,Customer,Name 1,Street,Telephone 1,Telephone 2,Transportation zone,Description,Postal Code,Sales district,City,Terms of Payment,Credit limit,Delivering Plant,Risk category,Distribution Channel,Customer group,Division,Changed On Sales Data,Created On Sales Data,Personnel Number,Representative no.,JWK SALESMAN,MonFrom1,MonFrom2,TueFrom1,Unnamed: 27,WedFrom1,WedFrom2,ThuFrom1,ThuFrom2,FriFrom1,FriFrom2,SatFrom1,SatFrom2,Personnel Name,Latitude,Longitude,Optimized JWK,road_node,Cycle,_temp_cycle
C051,188,1499504,KANTIN ALFIN MUHAJIRUN,JL.AT-TAQWA MUHAJIRUN RT.4/2 KEL.NEGARA RATU KEC.NATAR,085762990661,,2051028,Natar,35362,35362,LAMPUNG,Z12,5324937,3006,1.0,2,13,77,30.03.2026,2021-10-12 00:00:00,90051274,90051274,SELASA,0 ,0 ,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,SUPRAYOGA ABDI PUTRA,-5.3257283,105.17115,JUMAT,"(-5.33225, 105.15981)",Weekly,Weekly
C051,188,1580934,SRC.SARINI,GUMUK REJO RT.2-1 NO.23 KEL.GUMUK REJO KEC.PAGELARAN,085269806101,,2051030,Pagelaran Lampung,35375,35373,LAMPUNG,Z00,0,3006,5.0,2,69,77,28.01.2026,2024-01-18 00:00:00,90052197,90052197,KAMIS GENAP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,YUDDY SYAHPUTRA,-5.368681,104.9229252,SENIN GENAP,"(-5.38337, 104.87499)",Genap,Genap
C051,188,1628925,G CELL,JL.RAYA KURUNGAN NYAWA RT.2/2 NO.7 KEL.KURUNGAN NYAWA,081291661982,,2051156,Gedong Tata'an,35371,35371,LAMPUNG,Z00,0,3006,5.0,2,58,77,30.03.2026,2021-11-15 00:00:00,90051274,90051274,KAMIS,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,08:00:00,0 ,0 ,0 ,0 ,SUPRAYOGA ABDI PUTRA,-5.377367,105.195813,RABU,"(-5.38585, 105.19286)",Weekly,Weekly
C051,188,1702754,TK.CAHAYA INDAH,JL.CUT MEUTIA RT.8/4 KEL.WONODADI KEC.GADING REJO,088707048629,,2051011,Gading Rejo,35372,35372,LAMPUNG,Z12,1500000,3006,1.0,2,42,77,30.05.2023,2022-01-06 00:00:00,90051274,90051274,JUMAT GENAP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,SUPRAYOGA ABDI PUTRA,,,,,Genap,Genap
C051,188,1702756,WR.INARA,DSN.PRINGOMBO RT.4/5 KEL.PRINGSEWU TIMUR KEC.PRINGSEWU,081540099503,,2051036,Pringsewu,35673,35673,LAMPUNG,Z12,1500000,3006,1.0,2,42,77,30.05.2023,2022-01-06 00:00:00,90051274,90051274,SENIN GENAP,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,SUPRAYOGA ABDI PUTRA,,,,,Genap,Genap
C051,188,1702757,WR.AMEL,JL.RAYA WONOSARI RT.1/1 KEL.WONOSARI KEC.GADING REJO,085208519870,,2051011,Gading Rejo,35372,35372,LAMPUNG,Z12,1500000,3006,1.0,2,42,77,30.05.2023,2022-01-06 00:00:00,90051274,90051274,JUMAT GENAP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,SUPRAYOGA ABDI PUTRA,,,,,Genap,Genap
C051,188,1702826,TK.KAFILA MART,JL.RAYA WONOKRIYO RT.2/7 NO.35 KEL.WONODADI KEC.GADING REJO,085382905532,085269636900,2051493,Pasar Gadingrejo,35372,35372,LAMPUNG,Z00,0,3006,5.0,2,14,77,29.04.2026,2022-05-19 00:00:00,90052353,90052353,SELASA,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,REKI YULIANDRI,-5.371925,105.04785,JUMAT,"(-5.37647, 105.06885)",Weekly,Ganjil
C051,188,1707500,ALFAMART MARGODADI,JL.RAYA MARGODADI RT.4/2 KEL.MARGODADI KEC.JATI AGUNG,085789758907,,2051385,Jati Agung (Jambon),35361,35361,LAMPUNG,Z30,5000000,3006,1.0,1,43,77,06.02.2026,2022-01-21 00:00:00,90052003,90052003,SABTU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,08:00:00,TAUFAN DWI SEPTIAN,-5.3157783,105.3649817,JUMAT,"(-5.36137, 105.30813)",Weekly,Weekly
C051,188,1708997,WR.BU ENDANG,JL.SWADAYA RT.22 NO.193 KEL.SUKARAJA KEC.GEDONG TATAAN,085380929031,,2051156,Gedong Tata'an,35371,35371,LAMPUNG,Z12,2000000,3006,1.0,2,14,77,01.02.2026,2022-01-24 00:00:00,90052353,90052353,SELASA GENAP,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,REKI YULIANDRI,-5.385007,105.106585,JUMAT GENAP,"(-5.38512, 105.10658)",Genap,Genap
C051,188,1711048,WR.MBA ANA,DSN.PATOMAN RT.3/1 NO.15 KEL.PATOMAN KEC.PAGELARAN,085310429966,,2051030,Pagelaran Lampung,35676,35676,LAMPUNG,Z00,0,3006,5.0,2,69,77,11.01.2026,2022-02-02 00:00:00,90052197,90052197,KAMIS GENAP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,YUDDY SYAHPUTRA,-5.36657,104.904151,JUMAT GENAP,"(-5.38337, 104.87499)",Genap,Genap
C051,188,1715267,WR.LOUISE,WONOREJO RT.2/2 NO.5 KEL.KAGUNGAN RATU KEC.NEGERI KATON,+6285709815292,,2051011,Gading Rejo,35371,35371,LAMPUNG,Z12,2000000,3006,1.0,2,69,77,21.02.2026,2022-02-22 00:00:00,90052353,90052353,SABTU GANJIL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,REKI YULIANDRI,-5.353815,105.083608,SENIN GANJIL,"(-5.35442, 105.0809)",Ganjil,Ganjil
C051,188,1716409,WR.ABANG ADEK,DSN.NEGERI KATON RT.1/1 KEL-KEC.NEGERI KATON,085608388874,,2051156,Gedong Tata'an,35371,35371,LAMPUNG,Z00,0,3006,5.0,2,14,77,01.02.2026,2022-03-04 00:00:00,90052353,90052353,JUMAT GENAP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,REKI YULIANDRI,-5.325502,105.104244,SENIN GENAP,"(-5.32559, 105.10435)",Genap,Genap
C051,188,1718216,ALFAMART PALEMBAPANG,JL.RAYA PALEMBAPANG RT.1/1 NO.40 KEL.PALEMBAPANG,081294668671,,2051018,Kalianda,35551,35551,LAMPUNG,Z30,5000000,3006,1.0,1,43,77,06.02.2026,2022-03-11 00:00:00,90052003,90052003,RABU,0 ,0 ,0 ,0 ,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,TAUFAN DWI SEPTIAN,-5.728742,105.63359,KAMIS,"(-5.51886, 105.34902)",Weekly,Weekly
C051,188,1718379,WR.NABILA,DS.GUNUNG SARI RT.0 KEL.GUNUNG SARI KEC.WAY KHILAW,+6285788843411,,2051270,Gunung Sari (Pesawar,35368,35368,LAMPUNG,Z00,0,3006,5.0,2,69,77,29.04.2026,2024-09-13 00:00:00,90052353,90051924,SELASA GENAP,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,REKI YULIANDRI,-5.465309,104.98241,SELASA GENAP,"(-5.46458, 104.98311)",Genap,Genap
C051,188,1719416,ALFAMART WAY PANJI 2,JL.DSN 7 BALI AGUNG RT.1/7 KEL.SIDOHARJO KEC.WAY PANJI,081294668671,,2051033,"Palas(Patok,Waymegat",35354,35353,LAMPUNG,Z30,5000000,3006,1.0,1,43,77,06.02.2026,2022-03-16 00:00:00,90052003,90052003,RABU,0 ,0 ,0 ,0 ,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,TAUFAN DWI SEPTIAN,-5.617265,105.590458,KAMIS,"(-5.51886, 105.34902)",Weekly,Weekly
C051,188,1721770,WR.RENI,DSN.PANGGUNGREJO RT.10/4 KEL.PANGGUNGREJO KEC.SUKOHARJO,085809832236,,2051223,Sukoharjo,35674,35674,LAMPUNG,Z00,0,3006,5.0,2,14,77,27.04.2026,2022-03-23 00:00:00,90052353,90052353,JUMAT GENAP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,REKI YULIANDRI,-5.316834,105.033156,SENIN GENAP,"(-5.32942, 105.06168)",Genap,Genap
C051,188,1722172,TK.LOPAN,DSN.TEBAK JAWA RT.7-5 KEL.TEBA JAWA KEC.KEDONDONG,085832821945,,2051016,Kedondong,35368,35368,LAMPUNG,Z00,0,3006,5.0,2,69,77,01.02.2026,2024-08-09 00:00:00,90052353,90051561,SENIN,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,REKI YULIANDRI,-5.453621,105.00518,SELASA,"(-5.45351, 105.00506)",Weekly,Weekly
C051,188,1722426,TK.AFIKA,DSN.TEGAL SARI RT.14/4 KEL.GADING REJO KEC.NEGERI KATON,085348278654,,2051011,Gading Rejo,35372,35372,LAMPUNG,Z12,2179824,3006,1.0,2,69,77,29.04.2026,2022-09-26 00:00:00,90052353,90051815,RABU,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,REKI YULIANDRI,-5.35419,105.066952,SENIN,"(-5.35511, 105.07588)",Weekly,Genap
C051,188,1723074,WR.HERU,DSN.KOTA BARU RT.1/7 KEL.ROWOREJO KEC.NEGERI KATON,085267554825,,2051223,Sukoharjo,35365,35365,LAMPUNG,Z00,0,3006,5.0,2,58,77,01.02.2026,2022-03-25 00:00:00,90052353,90052353,JUMAT GANJIL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,REKI YULIANDRI,-5.290187,105.047314,SENIN GANJIL,"(-5.28716, 105.05471)",Ganjil,Ganjil
C051,188,1729402,WR.MAMA IZAM,DSN.SUKA RAME RT.6 KEL.PASAR BARU KEC.KEDONDONG,087899257548,,2051016,Kedondong,35368,35368,LAMPUNG,Z00,0,3006,5.0,2,14,77,13.04.2026,2022-12-08 00:00:00,90052353,90052438,SENIN GANJIL,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,REKI YULIANDRI,-5.464066,105.003953,SABTU GANJIL,"(-5.46401, 105.00394)",Ganjil,Ganjil
C051,188,1731068,TK.BAGAS,JL.TAMTAMA RT.1/1 KEL.BAGELEN KEC.GEDONG TATAAN,081226722244,,2051156,Gedong Tata'an,35366,35366,LAMPUNG,Z00,0,3006,5.0,2,69,77,01.02.2026,2022-04-06 00:00:00,90052353,90052353,SELASA GENAP,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,REKI YULIANDRI,-5.378653,105.100579,JUMAT GENAP,"(-5.37875, 105.10056)",Genap,Genap
C051,188,1731070,SHANUM,JL.SATRIA RT.1/7 KEL-KEC.GADING REJO,085249944763,,2051011,Gading Rejo,35366,35366,LAMPUNG,Z00,0,3006,5.0,2,14,77,25.02.2026,2022-04-06 00:00:00,90052353,90052353,SELASA GANJIL,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,REKI YULIANDRI,-5.379971,105.067512,JUMAT GANJIL,"(-5.37647, 105.06885)",Ganjil,Ganjil
C051,188,1731071,TK.KELI,JL.APEL RT.2/4 NO.2 KEL-KEC.PAGELARAN,085357577174,,2051036,Pringsewu,35375,35371,LAMPUNG,Z00,0,3006,5.0,2,42,77,30.03.2026,2022-04-06 00:00:00,90052197,90052197,KAMIS GANJIL,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,YUDDY SYAHPUTRA,-5.364096,104.886869,JUMAT GANJIL,"(-5.36756, 104.86667)",Ganjil,Ganjil
C051,188,1732138,TK.FARAH,DSN.ROWOREJO RT.2/1 KEL.ROWOREJO KEC.NEGERI KATON,+6285945036315,,2051158,Rowo Rejo,35365,35365,LAMPUNG,Z00,0,3006,5.0,2,69,77,29.04.2026,2022-04-08 00:00:00,90052353,90052353,JUMAT,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,REKI YULIANDRI,-5.290151,105.055442,SENIN,"(-5.28716, 105.05471)",Weekly,Ganjil
C051,188,1732572,TK.PAK MAMO,DSN.SUKARAJA 4 RT.1 KEL.SUKARAJA KEC.GEDONG TATAAN,081377816527,,2051156,Gedong Tata'an,35366,35366,LAMPUNG,Z12,2000000,3006,1.0,2,69,77,01.02.2026,2022-12-06 00:00:00,90052353,90052353,SELASA,0 ,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,REKI YULIANDRI,-5.390519,105.106715,JUMAT,"(-5.38975, 105.10619)",Weekly,Genap
C051,188,1734325,SWALAYAN KENCANA TANJUNG BINTA,JL.RAYA SERDANG RT.4/4 NO.4 KEL.JATI BARU,085838944378,,2051047,Tanjung Bintang,35361,35361,LAMPUNG,Z12,3500000,3006,1.0,1,A3,77,06.02.2026,2022-04-11 00:00:00,90052003,90052003,RABU,0 ,0 ,0 ,0 ,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,TAUFAN DWI SEPTIAN,-5.421942,105.413037,JUMAT,"(-5.4218, 105.34884)",Weekly,Weekly
C051,188,1751194,ALFAMART JATI BARU,JL.BUDI SANTOSA RT.1/1 KEL.JATI BARU KEC.TANJUNG BINTANG,08527977525,,2051047,Tanjung Bintang,35361,35361,LAMPUNG,Z30,5000000,3006,1.0,1,43,77,06.02.2026,2022-04-25 00:00:00,90052003,90052003,RABU,0 ,0 ,0 ,0 ,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,TAUFAN DWI SEPTIAN,-5.4175132,105.4207746,JUMAT,"(-5.4218, 105.34884)",Weekly,Weekly
C051,188,1777471,MARYATI,DSN BUMI TINGGI RT 025 RW 008 KEL BUMI TINGGI KEC BUMI AG,081279628368,,2051339,Sukadana,35512,35512,LAMPUNG,Z00,0,3006,5.0,2,13,77,30.03.2026,2025-10-22 00:00:00,90051274,90051274,SENIN,08:00:00,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,SUPRAYOGA ABDI PUTRA,-5.113747,105.540386,SENIN,"(-5.17647, 105.21137)",Weekly,Weekly
C051,188,177835,EMRI COSMETIK,JL.KI HAJAR DEWANTORO RT.3/3 NO.858 KEL.PRINGSEWU SELATAN,085269178777,0729-24275,2051036,Pringsewu,35373,35373,LAMPUNG,Z12,2000000,3006,1.0,2,14,77,27.04.2026,2020-02-15 00:00:00,90052353,90052353,SELASA,0 ,0 ,08:00:00,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,REKI YULIANDRI,-5.3570028,104.9761367,RABU,"(-5.39576, 105.02377)",Weekly,Ganjil
C051,188,1789159,ALFAMIDI SUPER METRO,JL.AH.NASUTION RT.8/3 KEL.YOSOREJO KEC.METRO TIMUR,081380763796,,2051027,Metro,34124,34124,LAMPUNG,Z21,15000000,3006,1.0,1,43,77,01.02.2026,2022-05-27 00:00:00,90052003,90052003,JUMAT,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,08:00:00,0 ,0 ,TAUFAN DWI SEPTIAN,-5.114018,105.312762,SELASA,"(-5.17647, 105.21137)",Weekly,Weekly
C051,188,1797717,TK.ROS MART,JL.SETIA BUDI RT.20 KEL.BRANTI KEC.NATAR,08972223375,,2051269,Rulung Raya,35362,35362,LAMPUNG,Z00,0,3006,5.0,2,13,77,30.03.2026,2022-06-04 00:00:00,90051274,90051274,SABTU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,08:00:00,08:00:00,SUPRAYOGA ABDI PUTRA,-5.233757,105.192409,SENIN,"(-5.23728, 105.15843)",Weekly,Weekly
