Customer;Name 1;Street;Telephone 1;Telephone 2;Zone;SDst;Represent.;Pers.No.;Sales;#N/A;JWK;MonFrom1;MonFrom2;TueFrom1;TueFrom2;WedFrom1;WedFrom2;ThuFrom1;ThuFrom2;FriFrom1;FriFrom2;SatFrom1;SatFrom2;DChl;CGrp;PayT;Cred.limit;Post.Code;Plnt;Created on;Created on
209205;TK. AKBAR;INDRALOKA I RT 005 RW 002 KEL INDRALOKA I KEC WAY KENANGA;8.23E+10;;2051145;34595;90052442;90052442;Rudi Anggoro;F2 GT;Senin Ganjil;08:00:00;;;;;;;;;;;;2;69;Z00;0;34595;3042;02.01.2014;18.07.2025
2893050;WR TOWIYAH;GEDUNG KARYA JITU RT 001 RW 001 KEL GEDUNG KARYA JITU KEC;8.53E+10;;2051140;34593;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;58;Z00;0;34593;3042;03.03.2023;18.08.2025
209210;TK EKA;GEDUNG RAM RT 012 RW 003 KEL GEDUNG RAM KEC TANJUNG RAYA;8.17E+08;;2051142;34593;90052442;90052442;Rudi Anggoro;F2 GT;Sabtu Ganjil;;;;;;;;;;;08:00:00;;2;69;Z00;0;34593;3042;02.01.2014;02.09.2025
2893057;WR.TASYA;GEDUNG KARYA JITU RT.6-3 KEL.GEDUNG KARYA JITU;6.28E+12;;2051140;34593;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;69;Z00;0;34593;3042;03.03.2023;04.06.2025
2893167;WR.FAHRUR;PANGGUNG JAYA RT.8-4 KEL.PANGGUNG JAYA KEC.RAWA JITU UTARA;8.13E+10;;2051138;34593;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;69;Z00;0;34593;3042;03.03.2023;15.05.2025
209693;TK. ZENURI;INDRALOKA I RT.3-1 KEL.INDRALOKA I KEC.WAY KENANGA;8.23E+10;;2051145;34595;90052301;90052301;Ihwal Bayu Saddera;F4 GT;Kamis;;;;;;;08:00:00;08:00:00;;;;;2;13;Z00;0;34595;3042;09.01.2014;09.01.2025
220398;TK. MELI;JL.ASPOL NO.95 LK.UGU RT.1-2 KEL.UJUNG GUNUNG KEC.MENGGALA;8.22E+10;;2051184;34595;90052418;90052418;Yuda Nurisman;F2 GT;Rabu Genap;;;;;;08:00:00;;;;;;;2;69;Z00;0;34596;3042;06.06.2014;14.02.2025
227532;TK.MARTINI;KIBANG BUDI JAYA RT.4-1 KEL.KIBANG BUDI JAYA KEC.LAMBU;8.22E+10;;2051149;34595;90052418;90052418;Yuda Nurisman;F2 GT;Sabtu Ganjil;;;;;;;;;;;08:00:00;;2;14;Z00;0;34595;3042;10.09.2014;23.12.2024
2893182;WR.YOGI;SIDANG BANDAR ANOM RT.2-4 KEL.SIDANG BANDAR ANOM;8.54E+10;;2051138;34593;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;58;Z00;0;34593;3042;03.03.2023;09.05.2025
2893243;TK.ALEXI;TELOGO REJO RT.18-4 KEL.TELOGO REJO KEC.RAWA JITU UTARA;8.53E+10;;2051138;34593;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;13;Z00;0;34593;3042;03.03.2023;26.06.2025
230243;TK. GG;LABUHAN BARU RT.1-4 KEL.LABUHAN BARU KEC.WAY SERDANG;8.22E+10;;2051171;34595;90052442;90052442;Rudi Anggoro;F2 GT;Kamis Ganjil;;;;;;;08:00:00;;;;;;2;69;Z00;0;34595;3042;08.10.2014;26.05.2025
231320;TK DOLI;GEDONG BOGA RT 002 RW 006 KEL GEDUNG BOGA KEC.WAY SERDANG;8.53E+10;;2051171;34595;90052442;90052442;Rudi Anggoro;F2 GT;Kamis Ganjil;;;;;;;08:00:00;;;;;;2;13;Z00;0;34595;3042;21.10.2014;22.09.2025
235360;TK. MUTIAH;PANCA WARNA RT.1-5 KEL.PANCA WARNA KEC.WAY SERDANG;8.22E+10;;2051171;34595;90052442;90052442;Rudi Anggoro;F2 GT;Kamis Genap;;;;;;;;08:00:00;;;;;2;58;Z00;0;34595;3042;04.12.2014;05.05.2025
241364;TK. DILA JAYA;DAYA ASRI RT.2-2 KEL.DAYA ASRI KEC.TUMIJAJAR;8.57E+10;;2051077;35492;90052418;90052418;Yuda Nurisman;F2 GT;Kamis Ganjil;;;;;;;08:00:00;;;;;;2;69;Z00;0;35492;3042;26.02.2015;17.04.2025
5542689;TK.NUR KHASANAH;PANGGUNG JAYA KEL.PANGGUNG JAYA KEC.RAWAJITU UTARA;8.57E+10;;2051138;34596;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;69;Z00;0;34596;3042;06.03.2025;06.03.2025
244518;TK.PAK DWI;MUKTI KARYA RT.2-1 KEL.MUKTI KARYA KEC.PANCA JAYA;8.22E+10;;2051682;34595;90052301;90052301;Ihwal Bayu Saddera;F4 GT;Jumat;;;;;;;;;08:00:00;08:00:00;;;2;58;Z00;0;34595;3042;01.04.2015;06.02.2025
247709;TK. BIMA SP 1C;TUNAS JAYA RT.18-3 KEL.TUNAS JAYA KEC.GUNUNUNG AGUNG;8.14E+10;;2051152;34595;90052442;90052442;Rudi Anggoro;F2 GT;Rabu Ganjil;;;;;08:00:00;;;;;;;;2;69;Z00;0;34595;3042;30.04.2015;23.01.2025
248302;TK.PRATAMA;WIRA BANGUN RT.6-6 KEL.WIRA BANGUN KEC.SIMPANG PEMATANG;8.53E+10;8.22E+10;2051382;34595;90052442;90052442;Rudi Anggoro;F2 GT;Sabtu Genap;;;;;;;;;;;;08:00:00;2;69;Z00;0;34595;3042;07.05.2015;12.06.2025
249784;TK.AULIA;WIRA BANGUN RT.1-6 KEL.WIRA BANGUN KEC.SIMPANG PEMATANG;8.13E+10;;2051382;34593;90052442;90052442;Rudi Anggoro;F2 GT;Sabtu Genap;;;;;;;;;;;;08:00:00;2;69;Z00;0;34593;3042;23.05.2015;23.06.2025
257798;TK.MARIYANI;INDRALOKA II RT.21-5 KEL.INDRALOKA II KEC.WAY KENANGA;8.53E+10;;2051180;34595;90052301;90052301;Ihwal Bayu Saddera;F4 GT;Kamis;;;;;;;08:00:00;08:00:00;;;;;2;13;Z00;0;34595;3042;18.08.2015;06.05.2025
5566448;APOTEK 14 FARMA;PANGGUNG JAYA KEL.PANGGUNG JAYA KEC.RAWA JITU UTARA;8.13E+10;;2051138;34684;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;58;Z00;0;34684;3042;21.04.2025;21.04.2025
5569169;TK.RAHMA;JL.NANGKA KEL.GEDUNG KARYA JITU KEC.RAWA JITU SELATAN;8.13E+10;;2051140;34681;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;14;Z00;0;34681;3042;28.04.2025;28.04.2025
271055;TK.NADIA;KIBANG BUDIJAYA RT.24-8 KEL.KIBANG BUDI JAYA;8.54E+10;;2051149;34595;90052418;90052418;Yuda Nurisman;F2 GT;Sabtu Ganjil;;;;;;;;;;;08:00:00;;2;14;Z00;0;34595;3042;08.12.2015;05.05.2025
274466;TK.ROHADI;DS.WONO AGUNG RT.2-7 NO.51 KEL.WONO AGUNG;8.54E+10;;2051138;34595;90052301;90052301;Ihwal Bayu Saddera;F4 GT;Sabtu;;;;;;;;;;;08:00:00;08:00:00;2;13;Z00;0;34595;3042;26.01.2016;17.03.2025
281567;TK.KAILA;PANARAGAN JAYA RT.1-3 NO.51 KEL.PANARAGAN JAYA KEC.TULANG;8.22E+10;;2051085;34593;90052418;90052418;Yuda Nurisman;F2 GT;Rabu Ganjil;;;;;08:00:00;;;;;;;;2;69;Z00;0;34593;3042;14.04.2016;15.04.2025
293924;TK MANDA;DAYA MURNI LK III RT 002 RW 001 KEL DAYA MURNI KEC TUMIJAJAR;8.52E+10;;2051077;35492;90052418;90052418;Yuda Nurisman;F2 GT;Kamis Ganjil;;;;;;;08:00:00;;;;;;2;14;Z00;0;35492;3042;03.08.2016;26.01.2026
293925;TK.PANDU;DAYA MURNI RT.2-1 NO.29 KEL.DAYA MURNI KEC.TULANG BAWANG;8.54E+10;;2051077;34593;90052418;90052418;Yuda Nurisman;F2 GT;Kamis Ganjil;;;;;;;08:00:00;;;;;;2;69;Z00;0;35492;3042;03.08.2016;17.04.2025
298159;TK.SEMPURNA;MULYA KENCANA RT.7-3 KEL.MULYA KENCANA KEC.TULANG BAWANG;6.29E+12;;2051238;34593;90052418;90052418;Yuda Nurisman;F2 GT;Senin Genap;;08:00:00;;;;;;;;;;;2;69;Z00;0;34593;3042;24.08.2016;05.02.2025
305157;TK ANANDA;BUJUK AGUNG RT 004 RW 006 KEL BUJUK AGUNG KEC BANJAR;8.13E+10;;2051179;34595;90052442;90052442;Rudi Anggoro;F2 GT;Selasa Genap;;;;08:00:00;;;;;;;;;2;58;Z00;0;34595;3042;05.10.2016;05.08.2025
5569170;TK GUNUNG JATI;PENANGKIS MAKMUR RT 002 RW 006 KEL GEDUNG KARYA JITU;6.28E+12;;2051140;34681;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;69;Z00;0;34593;3042;28.04.2025;28.04.2025
5583050;TOKO 3 BERSAUDARA;SIDANG BANDAR ANOM RT/RW 002/002;8.13E+09;;2051138;34593;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;14;Z00;0;34593;3042;05.06.2025;05.06.2025
321034;TK.PUTU METRO;BUKO POSO RT 002 RW 004 KEL BUKO POSO KEC WAY SERDANG;8.53E+10;;2051169;34595;90052442;90052442;Rudi Anggoro;F2 GT;Senin Ganjil;08:00:00;;;;;;;;;;;;2;58;Z00;0;34595;3042;23.11.2016;18.07.2025
5584001;TOKO LUCKY;JL KENANGA RT/RW 001/005;8.14E+10;;2051140;34593;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;13;Z00;0;34593;3042;09.06.2025;09.06.2025
5657266;TK INDO KUOTA 2;JL LINTAS RAWAJITU RT 001 RW 002 KEL GEDUNG KARYA JITU;8.22E+10;;2051140;34593;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;13;Z00;0;34593;3042;23.10.2025;23.10.2025
5684161;TK ALYA ANISA;PANGGUNG JAYA RT/RW 013/003 KEL PANGGUNG JAYA KEC RAWA JITU;8.22E+10;;2051139;34593;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;58;Z00;0;34593;3042;18.11.2025;18.11.2025
342532;TK RAFELA;PANARAGAN JAYA RT 001 RW 006 KEL PANARAGAN JAYA KEC.TULANG;8.24E+10;;2051085;34593;90052418;90052418;Yuda Nurisman;F2 GT;Rabu Ganjil;;;;;08:00:00;;;;;;;;2;58;Z00;0;34593;3042;26.05.2017;31.07.2025
5684565;TK TIGA PUTRA;GEDUNG KARYA JITU RT RW 004/002 KEC RAWA JITU SELATAN;8.53E+10;;2051140;34593;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;13;Z00;0;34593;3042;18.11.2025;18.11.2025
344684;TK.FATNAN;KP.KEBUN DALAM RT.2-6 KEL.KEBUN DALAM KEC.WAY SERDANG;8.53E+10;;2051169;34595;90052442;90052442;Rudi Anggoro;F2 GT;Kamis Genap;;;;;;;;08:00:00;;;;;2;69;Z00;0;34595;3042;17.06.2017;23.01.2025
355740;TK.TEGUH;SRI RAHAYU RT.10-1 KEL.KAGUNGAN RAHAYU KEC.MENGGALA;8.53E+10;;2051185;34595;90052418;90052418;Yuda Nurisman;F2 GT;Senin Genap;;08:00:00;;;;;;;;;;;2;69;Z00;0;34595;3042;23.10.2017;28.05.2025
358137;TK.JAYA ABADI WIRA BANGUN;WIRA BANGUN RT.2-1 KEL.WIRA BANGUN KEC.SIMPANG PEMATANG;8.12E+10;;2051382;34595;90052442;90052442;Rudi Anggoro;F2 GT;Sabtu Genap;;;;;;;;;;;;08:00:00;2;69;Z00;0;34595;3042;09.11.2017;12.06.2025
364601;TK.DENTA;INDRALOKA II RT.3-1 KEL.INDRALOKA II;8.24E+10;;2051145;34595;90052442;90052442;Rudi Anggoro;F2 GT;Selasa Genap;;;;08:00:00;;;;;;;;;2;14;Z00;0;34595;3042;05.01.2018;08.07.2025
372600;TK NISA;SRI RAHAYU RT 003 RW 001 KEL KAGUNGAN RAHAYU KEC MENGGALA;8.24E+10;;2051185;34595;90052418;90052418;Yuda Nurisman;F2 GT;Senin Genap;;08:00:00;;;;;;;;;;;2;14;Z00;0;34595;3042;10.03.2018;05.03.2026
5708564;TK SUBANDI;SINDANG BANDAR ANOM RT RW 001/003 KEC RAWA JITU UTARA;8.23E+10;;2051139;34593;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;14;Z00;0;34593;3042;08.12.2025;08.12.2025
5796676;TK BAYU PUTRA;JL.POROS RAWA JITU RT 001 RW 002 KEL GEDUNG KARYA JITU;8.79E+10;;2051140;34593;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;14;Z00;0;34593;3042;03.03.2026;03.03.2026
427242;TOSERBA PS TRAYA;SUKA JAYA RT.7-2 KEL.SUKA JAYA KEC.GUNUNG TERANG;8.59E+10;;2051630;34595;90052442;90052442;Rudi Anggoro;F2 GT;Senin Genap;;08:00:00;;;;;;;;;;;2;58;Z00;0;34595;3042;24.08.2018;21.01.2025
427426;TK.JAYA TOTO KATON;TOTO KATON RT.4-2 KEL.TOTO KATON KEC.GUNUNG TERANG;8.23E+10;;2051570;34595;90052301;90052301;Ihwal Bayu Saddera;F4 GT;Rabu;;;;;08:00:00;08:00:00;;;;;;;2;13;Z00;0;34595;3042;27.08.2018;21.01.2025
5799089;TK SAMSUL HADI 1;GEDUNG KARYA JITU RT 002 RW 005 KEC RAWAJITU;8.58E+10;;2051140;34596;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;14;Z00;0;34596;3042;06.03.2026;06.03.2026
429014;ANDIK;PANARAGAN JAYA INDAH RT.3-1 NO.21 KEL.PANARAGAN JAYA;8.24E+10;;2051085;34593;90052418;90052418;Yuda Nurisman;F2 GT;Rabu Ganjil;;;;;08:00:00;;;;;;;;2;69;Z00;0;34593;3042;13.09.2018;17.04.2025
429304;TK TEGAR;TOTO KATON RT 004 RW 001 KEL TOTO KATON KEC BATU PUTIH;8.53E+10;;2051570;34593;90052442;90052442;Rudi Anggoro;F2 GT;Senin Genap;;08:00:00;;;;;;;;;;;2;14;Z00;0;34593;3042;15.09.2018;24.04.2026
429382;TK ANIS;MARGA JAYA RT 014 RW 004 KEL MARGA JAYA KEC GUNUNG AGUNG;8.13E+10;;2051151;34593;90052442;90052442;Rudi Anggoro;F2 GT;Rabu Genap;;;;;;08:00:00;;;;;;;2;58;Z00;0;34593;3042;17.09.2018;15.09.2025
433020;TK PAK HUDA;CEMPAKA JAYA RT 005 RW 001 KEL.CEMPAKA JAYA KEC.MENGGALA;8.15E+10;;2051176;34593;90052418;90052418;Yuda Nurisman;F2 GT;Selasa Genap;;;;08:00:00;;;;;;;;;2;58;Z00;0;34593;3042;23.10.2018;25.08.2025
5817749;TK ANTON;JL ANGGREK RT 005 RW 002 GEDUNG KARYA JITU KEC RAWA JITU;;8.52E+10;2051140;34682;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;14;Z00;0;34682;3042;09.04.2026;09.04.2026
434839;TK.TIFAH;SAKTI JAYA RT.13-4 KEL.SAKTI JAYA KEC.BATU PUTIH;8.54E+10;;2051570;34593;90052442;90052442;Rudi Anggoro;F2 GT;Senin Genap;;08:00:00;;;;;;;;;;;2;14;Z00;0;34593;3042;12.11.2018;17.07.2025
438091;TK.SULASTRI;MUKTI KARYA RT.17-2 KEL.MUKTI KARYA KEC.PANCA JAYA;8.23E+10;;2051682;34593;90052442;90052442;Rudi Anggoro;F2 GT;Selasa Ganjil;;;08:00:00;;;;;;;;;;2;69;Z00;0;34593;3042;13.12.2018;18.02.2025
443876;TK.SUMINI;MEKAR SARI RT.1-3 KEL.MEKAR SARI KEC.TANJUNG RAYA;8.58E+10;;2051144;34593;90052442;90052442;Rudi Anggoro;F2 GT;Sabtu Ganjil;;;;;;;;;;;08:00:00;;2;14;Z00;0;34593;3042;01.02.2019;24.03.2025
443881;TK.EDI;TEGAL MULYO RT.12-4 KEL.KIBANG MULYA JAYA KEC.LAMBU KIBANG;8.14E+10;;2051392;34593;90052418;90052418;Yuda Nurisman;F2 GT;Senin Ganjil;08:00:00;;;;;;;;;;;;2;69;Z00;0;34593;3042;01.02.2019;23.12.2024
451320;TK.ROPINTA;PULUNG KENCANA RT.5-2 KEL.PULUNG KENCANA;8.52E+10;;2051237;34593;90052301;90052301;Ihwal Bayu Saddera;F4 GT;Senin;08:00:00;08:00:00;;;;;;;;;;;2;13;Z00;0;34593;3042;01.04.2019;24.02.2025
451321;TK ISAH;LABUHAN MULYA RT 002 RW 003 KEL LABUHAN MULYA KEC WAY;8.53E+10;;2051171;34593;90052442;90052442;Rudi Anggoro;F2 GT;Kamis Ganjil;;;;;;;08:00:00;;;;;;2;13;Z00;0;34593;3042;01.04.2019;20.08.2025
5817750;TK ABAY CELL;JL KENANGA RT 002 RW 005 KEL GEDUNG KARYA JITU KEC RAWA JITU;;8.54E+10;2051140;34593;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;14;Z00;0;34593;3042;09.04.2026;09.04.2026
5828505;TK KMC CELL;MEDASARI RT 003 RW 005 KEC RAWA JITU SELATAN SELATAN;;8.54E+10;2051140;34596;90052449;90052449;Beni Saputra;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;14;Z00;0;34596;3042;08.05.2026;08.05.2026
459210;TK.HAFIS;RINGIN SARI RT.4-2 KEL.RINGIN SARI KEC.PANCA JAYA;8.53E+10;;2051141;34593;90052301;90052301;Ihwal Bayu Saddera;F4 GT;Jumat;;;;;;;;;08:00:00;08:00:00;;;2;67;Z00;0;34593;3042;10.07.2019;23.06.2025
459212;TK.EDI DKM;DWI KARYA MUSTIKA RT.5-1 KEL.DWI KARYA MUSTIKA;8.22E+10;;2051153;34593;90052442;90052442;Rudi Anggoro;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;14;Z00;0;34593;3042;10.07.2019;24.02.2025
459218;TK.SAIKUDIN;PENUMANGAN RT.1-3 KEL.PENUMANGAN KEC.TULANG BAWANG TENGAH;8.53E+10;;2051085;34593;90052418;90052418;Yuda Nurisman;F2 GT;Jumat Ganjil;;;;;;;;;08:00:00;;;;2;14;Z00;0;34593;3042;10.07.2019;15.04.2025
464225;TK.TATA FOOD;DWI WARGA TUNGGAL JAYA RT.7-2 KEL.DWI WARGA TUNGGAL JAYA;8.14E+10;;2051148;34593;90052418;90052418;Yuda Nurisman;F2 GT;Jumat Genap;;;;;;;;;;08:00:00;;;2;58;Z00;0;34593;3042;26.08.2019;04.07.2025
472244;TK BU JOKO;GEDUNG BOGA RT 001 RW 006 KEL GEDUNG BOGA KEC WAY SERDANG;8.22E+10;;2051171;34593;90052442;90052442;Rudi Anggoro;F2 GT;Kamis Ganjil;;;;;;;08:00:00;;;;;;2;13;Z00;0;34593;3042;22.10.2019;22.09.2025
475062;SRC SUSI;KIBANG BUDI JAYA RT.11-3 KEL.KIBANG BUDI JAYA KEC.LAMBU;8.54E+10;;2051149;34593;90052301;90052301;Ihwal Bayu Saddera;F4 GT;Rabu;;;;;08:00:00;08:00:00;;;;;;;2;13;Z00;0;34593;3042;12.11.2019;03.01.2025
487183;TK.DWI BUJUK;BUJUK AGUNG RT.2-3 NO.16 KEL.BUJUK AGUNG KEC.BANJAR MARGO;8.54E+10;;2051179;34595;90052442;90052442;Rudi Anggoro;F2 GT;Selasa Genap;;;;08:00:00;;;;;;;;;2;14;Z00;0;34595;3042;23.01.2020;09.01.2025
499790;TK HENDRA SIREGAR;KAGUNGAN RATU RT 005 RW 007 KEL KAGUNGAN RATU;8.23E+10;;2051237;34593;90052418;90052418;Yuda Nurisman;F2 GT;Kamis Ganjil;;;;;;;08:00:00;;;;;;2;14;Z00;0;34593;3042;06.03.2020;22.01.2026
515340;TK.RIZAL ULIMA;JL.RAYA GUNUNG SAKTI RT.1/1 KEL.MENGGALA SELATAN;8.54E+10;;2051184;34593;90052301;90052301;Ihwal Bayu Saddera;F4 GT;Senin;08:00:00;08:00:00;;;;;;;;;;;2;13;Z00;0;34593;3042;13.04.2020;05.02.2025
515345;TK ISMI;MULYO SARI RT 019 RW 003 KEL MULYO SARI KEC BATU PUTIH;8.54E+10;;2051570;34593;90052442;90052442;Rudi Anggoro;F2 GT;Senin Genap;;08:00:00;;;;;;;;;;;2;14;Z00;0;34593;3042;13.04.2020;22.01.2026
