Customer,Name 1,Street,Personnel Number,Personnel Name,JWK SALESMAN,Latitude,Longitude,Cycle,Optimized JWK
207988,TK SAPRI,JL ASPOL NO 302 LK UGU RT 001 RW 003 KEL UJUNG GUNUNG,90052418,Yuda Nurisman,SENIN GENAP,-4.550824,105.220524,Genap,SELASA GENAP
209205,TK. AKBAR,INDRALOKA I RT 005 RW 002 KEL INDRALOKA I KEC WAY KENANGA,90052442,Rudi Anggoro,SENIN GANJIL,-4.197516,105.160672,Ganjil,KAMIS GANJIL
209208,TK BU YANI,GEDUNG HARAPAN RT 005 RW 002 KEL GEDUNG HARAPAN KEC PENAWAR,90052449,Beni Saputra,KAMIS GENAP,-4.282876,105.497543,Genap,KAMIS GENAP
209210,TK EKA,GEDUNG RAM RT 012 RW 003 KEL GEDUNG RAM KEC TANJUNG RAYA,90052442,Rudi Anggoro,SABTU GANJIL,-3.964071,105.362633,Ganjil,SABTU GANJIL
209215,TK. OPIK,JL. LINTAS RINGIN SARI NO.18A RT.3-5 KEL.RINGIN SARI,90052449,Beni Saputra,SENIN GENAP,-4.238653,105.343156,Genap,SELASA GENAP
209673,TK. ASFA JAYA,KARYA MAKMUR RT.2-1 KEL.KARYA MAKMUR KEC.PENAWAR AJI,90052449,Beni Saputra,SELASA GENAP,-4.2804965,105.5196251,Genap,KAMIS GENAP
209693,TK. ZENURI,INDRALOKA I RT.3-1 KEL.INDRALOKA I KEC.WAY KENANGA,90052301,Ihwal Bayu Saddera,KAMIS,-4.1961523,105.1644503,Weekly,SENIN
220398,TK. MELI,JL.ASPOL NO.95 LK.UGU RT.1-2 KEL.UJUNG GUNUNG KEC.MENGGALA,90052418,Yuda Nurisman,RABU GENAP,-4.4812521,105.2345428,Genap,KAMIS GENAP
227532,TK.MARTINI,KIBANG BUDI JAYA RT.4-1 KEL.KIBANG BUDI JAYA KEC.LAMBU,90052418,Yuda Nurisman,SABTU GANJIL,-4.332688,105.157629,Ganjil,JUMAT GANJIL
230239,TK. ARUM,JL.ARJUNA RT.1-1 KEL.BATANG HARI KEC.RAWA PITU,90052449,Beni Saputra,SELASA GENAP,-4.3041043,105.54261,Genap,SELASA GENAP
230241,TK.BU GITO,PS.MEDASARI RT.2-5 KEL.MEDA SARI KEC.RAWA JITU SELATAN,90052449,Beni Saputra,JUMAT GENAP,-4.2117359,105.7041048,Genap,SENIN GENAP
230243,TK. GG,LABUHAN BARU RT.1-4 KEL.LABUHAN BARU KEC.WAY SERDANG,90052442,Rudi Anggoro,KAMIS GANJIL,-4.1398475,,Ganjil,
231320,TK DOLI,GEDONG BOGA RT 002 RW 006 KEL GEDUNG BOGA KEC.WAY SERDANG,90052442,Rudi Anggoro,KAMIS GANJIL,-4.089592,105.190111,Ganjil,KAMIS GANJIL
235360,TK. MUTIAH,PANCA WARNA RT.1-5 KEL.PANCA WARNA KEC.WAY SERDANG,90052442,Rudi Anggoro,KAMIS GENAP,-4.1673546,105.1112618,Genap,RABU GENAP
241364,TK. DILA JAYA,DAYA ASRI RT.2-2 KEL.DAYA ASRI KEC.TUMIJAJAR,90052418,Yuda Nurisman,KAMIS GANJIL,-4.6313157,105.0866033,Ganjil,SABTU GANJIL
244517,TK. ALIA,PANCA TUNGGAL JAYA RT.1-5 KEC.PANCA TUNGGAL JAYA,90052449,Beni Saputra,SELASA GENAP,-4.3133739,105.5013787,Genap,SELASA GENAP
244518,TK.PAK DWI,MUKTI KARYA RT.2-1 KEL.MUKTI KARYA KEC.PANCA JAYA,90052301,Ihwal Bayu Saddera,JUMAT,-3.996096,105.2879552,Weekly,SENIN
247709,TK. BIMA SP 1C,TUNAS JAYA RT.18-3 KEL.TUNAS JAYA KEC.GUNUNUNG AGUNG,90052442,Rudi Anggoro,RABU GANJIL,-4.242022,105.058958,Ganjil,SELASA GANJIL
248302,TK.PRATAMA,WIRA BANGUN RT.6-6 KEL.WIRA BANGUN KEC.SIMPANG PEMATANG,90052442,Rudi Anggoro,SABTU GENAP,-3.9988184,105.1687647,Genap,RABU GENAP
249784,TK.AULIA,WIRA BANGUN RT.1-6 KEL.WIRA BANGUN KEC.SIMPANG PEMATANG,90052442,Rudi Anggoro,SABTU GENAP,-3.999416,105.166351,Genap,RABU GENAP
257798,TK.MARIYANI,INDRALOKA II RT.21-5 KEL.INDRALOKA II KEC.WAY KENANGA,90052301,Ihwal Bayu Saddera,KAMIS,-4.217163,105.207826,Weekly,JUMAT
262633,TK ERSON,TATA KOTA RT 011 RW 013 KEL BUMI DEPASENA MULYA KEC RAWAJITU,90052449,Beni Saputra,JUMAT GANJIL,-4.212134,105.767714,Ganjil,SENIN GANJIL
271050,TK DANI,JL.KAKAK TUA RT 003 RW 003 NO.16 KEL TRI REJO MULYO,90052449,Beni Saputra,SABTU GENAP,-4.180706,105.449596,Genap,JUMAT GENAP
271055,TK.NADIA,KIBANG BUDIJAYA RT.24-8 KEL.KIBANG BUDI JAYA,90052418,Yuda Nurisman,SABTU GANJIL,-4.3419288,105.1747159,Ganjil,SENIN GANJIL
274466,TK.ROHADI,DS.WONO AGUNG RT.2-7 NO.51 KEL.WONO AGUNG,90052301,Ihwal Bayu Saddera,SABTU,-4.217079,105.667388,Weekly,RABU
281567,TK.KAILA,PANARAGAN JAYA RT.1-3 NO.51 KEL.PANARAGAN JAYA KEC.TULANG,90052418,Yuda Nurisman,RABU GANJIL,-4.5220771,105.0910755,Ganjil,KAMIS GANJIL
293924,TK MANDA,DAYA MURNI LK III RT 002 RW 001 KEL DAYA MURNI KEC TUMIJAJAR,90052418,Yuda Nurisman,KAMIS GANJIL,-4.630741,105.075958,Ganjil,SABTU GANJIL
293925,TK.PANDU,DAYA MURNI RT.2-1 NO.29 KEL.DAYA MURNI KEC.TULANG BAWANG,90052418,Yuda Nurisman,KAMIS GANJIL,-4.6310296,105.0761648,Ganjil,SABTU GANJIL
298159,TK.SEMPURNA,MULYA KENCANA RT.7-3 KEL.MULYA KENCANA KEC.TULANG BAWANG,90052418,Yuda Nurisman,SENIN GENAP,-4.566798,105.155211,Genap,KAMIS GENAP
305157,TK ANANDA,BUJUK AGUNG RT 004 RW 006 KEL BUJUK AGUNG KEC BANJAR,90052442,Rudi Anggoro,SELASA GENAP,-4.193833,105.232511,Genap,SENIN GENAP
315342,TK LINA,JL.P DIPONEGORO RT 020 RW 005 NO.4 KEL SIDO HARJO KEC,90052449,Beni Saputra,SABTU GENAP,-4.180992,105.418947,Genap,JUMAT GENAP
315345,TK.DEWI KURNIA,JL.DAHLIA RT.20-5 KEL.SIDOHARJO KEC.PENAWAR TAMA,90052449,Beni Saputra,RABU GANJIL,-4.180274,105.4120749,Ganjil,JUMAT GANJIL
321034,TK.PUTU METRO,BUKO POSO RT 002 RW 004 KEL BUKO POSO KEC WAY SERDANG,90052442,Rudi Anggoro,SENIN GANJIL,-4.176809,105.148589,Ganjil,JUMAT GANJIL
329969,TK.MITA BOGATAMA,KP.AIR MERAH BOGA TAMA RT.3-5 KEL.BOGATAMA KEC.PENAWAR TAMA,90052449,Beni Saputra,RABU GANJIL,-4.1860173,105.4969263,Ganjil,KAMIS GANJIL
330172,TK.RUKUN JAYA,KP.TUNGGAL WARGA RT.4-1 NO.35 KEL.TUNGGAL WARGA KEC.BANJAR,90052449,Beni Saputra,SENIN GANJIL,-4.2835266,105.2198886,Ganjil,RABU GANJIL
339179,TK.ATASYA,BANJAR DEWA SUKU 2 RT.1 KEL.BANJAR DEWA KEC.BANJAR AGUNG,90052449,Beni Saputra,SELASA GANJIL,-4.32524,105.2209603,Ganjil,SELASA GANJIL
342532,TK RAFELA,PANARAGAN JAYA RT 001 RW 006 KEL PANARAGAN JAYA KEC.TULANG,90052418,Yuda Nurisman,RABU GANJIL,-4.51913,105.089777,Ganjil,KAMIS GANJIL
344680,TK.IQBAL ROMLI,JL.KH AHMAD DAHLAN RT.6-3 KEL.GEDUNG KARYA JITU,90052449,Beni Saputra,JUMAT GANJIL,-4.2036136,105.7387881,Ganjil,SENIN GANJIL
344684,TK.FATNAN,KP.KEBUN DALAM RT.2-6 KEL.KEBUN DALAM KEC.WAY SERDANG,90052442,Rudi Anggoro,KAMIS GENAP,-4.188049,105.115012,Genap,KAMIS GENAP
355740,TK.TEGUH,SRI RAHAYU RT.10-1 KEL.KAGUNGAN RAHAYU KEC.MENGGALA,90052418,Yuda Nurisman,SENIN GENAP,-4.5733379,105.1839779,Genap,SELASA GENAP
358137,TK.JAYA ABADI WIRA BANGUN,WIRA BANGUN RT.2-1 KEL.WIRA BANGUN KEC.SIMPANG PEMATANG,90052442,Rudi Anggoro,SABTU GENAP,-3.9982695,105.1806811,Genap,RABU GENAP
364601,TK.DENTA,INDRALOKA II RT.3-1 KEL.INDRALOKA II,90052442,Rudi Anggoro,SELASA GENAP,-4.182157,105.189942,Genap,KAMIS GENAP
372600,TK NISA,SRI RAHAYU RT 003 RW 001 KEL KAGUNGAN RAHAYU KEC MENGGALA,90052418,Yuda Nurisman,SENIN GENAP,-4.572947,105.187308,Genap,SELASA GENAP
423963,TK KAYANG PIDADA,MEDASARI RT 003 RW 005 KEL MEDA SARI KEC RAWA JITU SELATAN,90052449,Beni Saputra,JUMAT GENAP,-4.210883,105.70396,Genap,SENIN GENAP
427055,TK.KASIO,KARYA BHAKTI RT.2-2 KEL.KARYA BHAKTI KEC.MERAKSA AJI,90052449,Beni Saputra,KAMIS GANJIL,-4.274184,105.414988,Ganjil,KAMIS GANJIL
427242,TOSERBA PS TRAYA,SUKA JAYA RT.7-2 KEL.SUKA JAYA KEC.GUNUNG TERANG,90052442,Rudi Anggoro,SENIN GENAP,-4.331483,105.062012,Genap,SELASA GENAP
427426,TK.JAYA TOTO KATON,TOTO KATON RT.4-2 KEL.TOTO KATON KEC.GUNUNG TERANG,90052301,Ihwal Bayu Saddera,RABU,-4.357161,105.028012,Weekly,SELASA
429012,TK.YULI,BANJAR AGUNG RT.3-2 NO.25 KEL.BANJAR AGUNG KEC.BANJAR AGUNG,90052449,Beni Saputra,SELASA GANJIL,-4.295762,105.217722,Ganjil,SELASA GANJIL
429014,ANDIK,PANARAGAN JAYA INDAH RT.3-1 NO.21 KEL.PANARAGAN JAYA,90052418,Yuda Nurisman,RABU GANJIL,-4.5238389,105.0976942,Ganjil,KAMIS GANJIL
429304,TK TEGAR,TOTO KATON RT 004 RW 001 KEL TOTO KATON KEC BATU PUTIH,90052442,Rudi Anggoro,SENIN GENAP,-4.3582790000000005,105.027214,Genap,SELASA GENAP
429382,TK ANIS,MARGA JAYA RT 014 RW 004 KEL MARGA JAYA KEC GUNUNG AGUNG,90052442,Rudi Anggoro,RABU GENAP,-4.294553,105.068495,Genap,JUMAT GENAP
433020,TK PAK HUDA,CEMPAKA JAYA RT 005 RW 001 KEL.CEMPAKA JAYA KEC.MENGGALA,90052418,Yuda Nurisman,SELASA GENAP,-4.38346,105.301923,Genap,RABU GENAP
434837,TK.TAMI,DS.WONO AGUNG RT.4-5 KEL.WONO AGUNG KEC.RAWAJITU SELATAN,90052449,Beni Saputra,JUMAT GENAP,-4.2171684,105.666985,Genap,SENIN GENAP
434839,TK.TIFAH,SAKTI JAYA RT.13-4 KEL.SAKTI JAYA KEC.BATU PUTIH,90052442,Rudi Anggoro,SENIN GENAP,-4.306998,105.014485,Genap,SELASA GENAP
438091,TK.SULASTRI,MUKTI KARYA RT.17-2 KEL.MUKTI KARYA KEC.PANCA JAYA,90052442,Rudi Anggoro,SELASA GANJIL,-4.003575,105.284339,Ganjil,RABU GANJIL
443876,TK.SUMINI,MEKAR SARI RT.1-3 KEL.MEKAR SARI KEC.TANJUNG RAYA,90052442,Rudi Anggoro,SABTU GANJIL,-3.9546454,105.3250885,Ganjil,SABTU GANJIL
443881,TK.EDI,TEGAL MULYO RT.12-4 KEL.KIBANG MULYA JAYA KEC.LAMBU KIBANG,90052418,Yuda Nurisman,SENIN GANJIL,-4.323994,105.12758,Ganjil,JUMAT GANJIL
451320,TK.ROPINTA,PULUNG KENCANA RT.5-2 KEL.PULUNG KENCANA,90052301,Ihwal Bayu Saddera,SENIN,-4.591917,105.104847,Weekly,SELASA
451321,TK ISAH,LABUHAN MULYA RT 002 RW 003 KEL LABUHAN MULYA KEC WAY,90052442,Rudi Anggoro,KAMIS GANJIL,-4.138183,105.095913,Ganjil,JUMAT GANJIL
455005,TK RUDI ANDILA,SIDO MUKTI RT 018 RW 004 KEL SIDO MUKTI KEC GEDUNG AJI BARU,90052449,Beni Saputra,RABU GENAP,-4.179713,105.527499,Genap,JUMAT GENAP
459207,TK.DINI,SIDOMULYO RT.1-5 KEL.SIDOMULYO KEC.PENAWAR TAMA,90052449,Beni Saputra,SABTU GANJIL,-4.186176,105.379507,Ganjil,JUMAT GANJIL
459210,TK.HAFIS,RINGIN SARI RT.4-2 KEL.RINGIN SARI KEC.PANCA JAYA,90052301,Ihwal Bayu Saddera,JUMAT,-3.991494,105.3366452,Weekly,SENIN
459212,TK.EDI DKM,DWI KARYA MUSTIKA RT.5-1 KEL.DWI KARYA MUSTIKA,90052442,Rudi Anggoro,JUMAT GANJIL,-4.041575,105.496605,Ganjil,SENIN GANJIL
459218,TK.SAIKUDIN,PENUMANGAN RT.1-3 KEL.PENUMANGAN KEC.TULANG BAWANG TENGAH,90052418,Yuda Nurisman,JUMAT GANJIL,-4.4952956,105.1369547,Ganjil,JUMAT GANJIL
464225,TK.TATA FOOD,DWI WARGA TUNGGAL JAYA RT.7-2 KEL.DWI WARGA TUNGGAL JAYA,90052418,Yuda Nurisman,JUMAT GENAP,-4.283239,105.214411,Genap,SENIN GENAP
472244,TK BU JOKO,GEDUNG BOGA RT 001 RW 006 KEL GEDUNG BOGA KEC WAY SERDANG,90052442,Rudi Anggoro,KAMIS GANJIL,-4.089724,105.189359,Ganjil,KAMIS GANJIL
475062,SRC SUSI,KIBANG BUDI JAYA RT.11-3 KEL.KIBANG BUDI JAYA KEC.LAMBU,90052301,Ihwal Bayu Saddera,RABU,-4.3382109,105.1533851,Weekly,SABTU
487183,TK.DWI BUJUK,BUJUK AGUNG RT.2-3 NO.16 KEL.BUJUK AGUNG KEC.BANJAR MARGO,90052442,Rudi Anggoro,SELASA GENAP,-4.20396,105.245378,Genap,SENIN GENAP
499790,TK HENDRA SIREGAR,KAGUNGAN RATU RT 005 RW 007 KEL KAGUNGAN RATU,90052418,Yuda Nurisman,KAMIS GANJIL,-4.568745,105.1479,Ganjil,SELASA GANJIL
515340,TK.RIZAL ULIMA,JL.RAYA GUNUNG SAKTI RT.1/1 KEL.MENGGALA SELATAN,90052301,Ihwal Bayu Saddera,SENIN,-4.487577,105.237196,Weekly,SELASA
515345,TK ISMI,MULYO SARI RT 019 RW 003 KEL MULYO SARI KEC BATU PUTIH,90052442,Rudi Anggoro,SENIN GENAP,-4.355736,104.9992541,Genap,SELASA GENAP
524026,TK.HETI JAYA,WARGA MAKMUR JAYA RT.5-7 KEL.WARGA MAKMUR JAYA,90052418,Yuda Nurisman,JUMAT GENAP,-4.2878418,105.1890189,Genap,SENIN GENAP
539993,TK.AZAHRA,WARGA MAKMUR JAYA RT.2-3 KEL.WARGA MAKMUR JAYA,90052418,Yuda Nurisman,JUMAT GENAP,-4.2872075,105.1899453,Genap,SENIN GENAP
547547,TK.YUSYAM,TRI MUKTI JAYA RT.2-4 KEL.TRI MUKTI JAYA KEC.BANJAR AGUNG,90052301,Ihwal Bayu Saddera,SELASA,-4.2881067,105.2958622,Weekly,JUMAT
552960,TK AGUNG JITU,GEDUNG KARYA JITU RT 002 RW 002 KEL GEDUNG KARYA JITU,90052449,Beni Saputra,JUMAT GANJIL,,,Ganjil,
552965,TK.CINTA,PANCA WARNA WAY SERDANG RT.1-1 KEL.PANCA WARNA,90052442,Rudi Anggoro,KAMIS GENAP,-4.1593459,105.107724,Genap,RABU GENAP
592529,TK.SABITA,BUKO POSO RT.1-1 KEL.BUKO POSO KEC.WAY SERDANG,90052442,Rudi Anggoro,SENIN GANJIL,-4.1800944,105.1631693,Ganjil,KAMIS GANJIL
592536,TK.FIRMAN U6,PS.UNIT6 KIBANG BUDI JAYA RT.1-1 KEL.KIBANG BUDI JAYA,90052418,Yuda Nurisman,SABTU GANJIL,-4.331445,105.158634,Ganjil,JUMAT GANJIL
592537,TK.MAK YUS,KP.SUKA BHAKTI RT.13-4 KEL.SUKA BHAKTI KEC.GEDUNG AJI BARU,90052449,Beni Saputra,RABU GENAP,-4.2218873,105.6372128,Genap,SENIN GENAP
592538,TK.SRI UTAMI,BUKO POSO RT 004 RW 007 KEL BUKO POSO KEC WAY SERDANG,90052442,Rudi Anggoro,SENIN GANJIL,-4.197278,105.154575,Ganjil,JUMAT GANJIL
602297,TK.KRISNA BUJUK,BUJUK AGUNG RT.4-4 KEL.BUJUK AGUNG KEC.BANJAR MARGO,90052442,Rudi Anggoro,SELASA GENAP,-4.1974899,105.2351547,Genap,SENIN GENAP
602304,TK.YANA BUJUK,INDRALOKA JAYA RT.17-5 KEL.INDRALOKA JAYA KEC.WAY KENANGA,90052301,Ihwal Bayu Saddera,JUMAT,-4.196623,105.213066,Weekly,SENIN
602305,TK.FERRO,MULYA JAYA SP3C RT.3-1 KEL.MULYA JAYA KEC.GUNUNG AGUNG,90052442,Rudi Anggoro,RABU GENAP,-4.260287,105.1059749,Genap,JUMAT GENAP
602309,TK BUDI WALUYO,BANGUN JAYA RT 008 RW 003 KEL BANGUN JAYA KEC GUNUNG AGUNG,90052442,Rudi Anggoro,RABU GANJIL,-4.250275,105.087727,Ganjil,SELASA GANJIL
602312,TK.NADA SP3C,MULYA JAYA SP3C RT.7-2 KEL.MULYA JAYA KEC.GUNUNG AGUNG,90052442,Rudi Anggoro,RABU GENAP,-4.2608724,105.1061723,Genap,JUMAT GENAP
602314,TK WAHYUNI SP3C,MULYA JAYA SP3C RT 006 RW 002 KEL MULYA JAYA KEC GUNUNG,90052442,Rudi Anggoro,RABU GENAP,-4.261105,105.106237,Genap,JUMAT GENAP
602315,TK.HETI KEJADIAN,KEJADIAN RT.3-3 KEL.KEJADIAN KEC.WAY SERDANG,90052442,Rudi Anggoro,KAMIS GANJIL,-4.201277,105.076965,Ganjil,JUMAT GANJIL
602328,TK.IDA BUANA,MERCU BUANA RT.3-1 KEL.MERCU BUANA KEC.WAY KENANGA,90052301,Ihwal Bayu Saddera,KAMIS,-4.2641871,105.1536417,Weekly,KAMIS
602333,TK.SUMBER LESTARI,SIDO MULYO RT 002 RW 009 KEL SIDOMULYO KEC PENAWAR TAMA,90052449,Beni Saputra,SABTU GANJIL,-4.177219,105.379615,Ganjil,JUMAT GANJIL
602337,TK HERI MESUJI,ADI LUHUR RT 001 RW 001 KEL ADI LUHUR KEC PANCA JAYA,90052442,Rudi Anggoro,SELASA GANJIL,-3.953363,105.28788,Ganjil,RABU GANJIL
605980,TK NUR MULYA KENCANA,MULYA KENCANA RT 001 RW 005 KEL MULYA KENCANA KEC TULANG,90052418,Yuda Nurisman,KAMIS GENAP,-4.574442,105.149729,Genap,KAMIS GENAP
605981,TK.TUTI ASTRA,ASTRA KSETRA RT.2-2 KEL.ASTRA KSETRA KEC.MENGGALA,90052418,Yuda Nurisman,SENIN GENAP,-4.6319927,105.2130765,Genap,SELASA GENAP
610300,TK.GILANG PADASUKA,GILANG TUNGGAL MAKARTA RT.4-1 KEL.GILANG TUNGGAL MAKARTA,90052418,Yuda Nurisman,SELASA GENAP,-4.405002,105.205162,Genap,KAMIS GENAP
616572,TK BU IIN,AGUNG JAYA RT 005 RW 002 KEL AGUNG JAYA KEC WAY KENANGA,90052301,Ihwal Bayu Saddera,KAMIS,-4.275882,105.145058,Weekly,KAMIS
617801,TK SUYATNO,TOTO KATON RT 007 RW 003 KEL TOTO KATON KEC BATU PUTIH,90052301,Ihwal Bayu Saddera,RABU,-4.348743,105.037685,Weekly,KAMIS
617802,TK.BU MAKSUM,MARGO MULYO 10-4 KEL.MARGO MULYO KEC.GUNUNG TERANG,90052301,Ihwal Bayu Saddera,RABU,-4.3244975,105.0146731,Weekly,KAMIS
776965,TK.EDI PURNOMO,PANCA TUNGGAL JAYA RT.20-5 KEL.PANCA TUNGGAL JAYA,90052449,Beni Saputra,SELASA GENAP,-4.3121432,105.5031926,Genap,SELASA GENAP
830993,TK.RARERO,GEDUNG MULYA RT.15-4 KEL.GEDUNG MULYA KEC.TANJUNG RAYA,90052442,Rudi Anggoro,SABTU GANJIL,-3.963482,105.362715,Ganjil,SABTU GANJIL
1137955,TK.LINA HI,MAKARTI TAMA HI RT.2-8 KEL.MAKARTI TAMA KEC.GEDUNG AJI BARU,90052301,Ihwal Bayu Saddera,SABTU,-4.1790625,105.5280835,Weekly,RABU
1418989,TK KARSITIN,KIBANG BUDI JAYA RT 003 RW 001 KEL KIBANG BUDI JAYA,90052418,Yuda Nurisman,SABTU GENAP,-4.333092,105.162213,Genap,JUMAT GENAP
1516283,TK.TUGIONO,MEKAR JAYA RT.1-6 KEL.MEKAR JAYA KEC.GUNUNG AGUNG,90052442,Rudi Anggoro,RABU GANJIL,-4.2455527,105.0370981,Ganjil,SELASA GANJIL
1698611,TK.EKO SUSILO,KIBANG YEKTI JAYA RT.12-4 KEL.KIBANG YEKTI JAYA,90052301,Ihwal Bayu Saddera,RABU,-4.3245179,105.129188,Weekly,KAMIS
1713738,TK RAMIDI,SAKTI JAYA RT 005 RW 002 KEL SAKTI JAYA KEC BATU PUTIH,90052301,Ihwal Bayu Saddera,RABU,-4.297905,105.025369,Weekly,KAMIS
1714864,TK.ULVA TRAYA,JL.A YANI RT.10-3 KEL.MULYO JADI KEC.GUNUNG TERANG,90052442,Rudi Anggoro,SENIN GENAP,-4.334355,105.062358,Genap,SELASA GENAP
1719828,TK GLADYS,KARTA RAHARJA RT 003 RW 001 KEL KARTA RAHARJA,90052418,Yuda Nurisman,KAMIS GANJIL,-4.6186875,105.0501875,Ganjil,KAMIS GANJIL
1719863,TK SUJIYANTI,EKA MULYA RT 001 RW 002 KEL EKA MULYA KEC MESUJI TIMUR,90052301,Ihwal Bayu Saddera,JUMAT,-4.011564,105.503083,Weekly,RABU
1719869,TK ISTIMEWA JAYA,DWI WARGA TUNGGAL JAYA RT 002 RW 001 KEL DWI WARGA TUNGGAL,90052418,Yuda Nurisman,JUMAT GENAP,-4.283524,105.197564,Genap,SENIN GENAP
1732377,TOKO DINI CEEL,MULYA JAYA RT.14-4 KEL.MULYA JAYA KEC.GUNUNG AGUNG,90052301,Ihwal Bayu Saddera,RABU,-4.258349,105.10317,Weekly,KAMIS
1735362,ITA/MARLIYAH,PURWA JAYA RT.3-3 KEL.PURWA JAYA KEC.BANJAR MARGO,90052449,Beni Saputra,SENIN GANJIL,-4.273503,105.222529,Ganjil,RABU GANJIL
1736629,TK MUNTARI,TIYUH MARGA ASRI RT 026 RW 004 KEL MULYO ASRI,90052418,Yuda Nurisman,KAMIS GENAP,-4.63193,105.140032,Genap,SABTU GENAP
1736690,EM MART,DSN-KEL.MARGO MULYO RT.16-5 NO.110 KEC.TUMIJAJAR,90052418,Yuda Nurisman,KAMIS GENAP,-4.6436336,105.1243585,Genap,SABTU GENAP
1736847,TK.ASA A1,MUKTI KARYA RT.5-2 KEL.MUKTI KARYA KEC.PANCA JAYA,90052442,Rudi Anggoro,SELASA GANJIL,-4.0047825,105.2871936,Ganjil,RABU GANJIL
1758842,TK.WIN,KIBANG BUDI JAYA RT.3-1 KEL.KIBANG BUDI JAYA KEC.LAMBU,90052301,Ihwal Bayu Saddera,RABU,-4.332823,105.161128,Weekly,SABTU
